t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
0,1,MS,1,blade,LeafElement1,11.59843237,NA,11.50565696,NA,NA,NA,NA,NA,NA,0.06848600,NA,0.00000000,0.00002050,381.66869397,NA,NA,NA,NA,NA,0.09277541,NA,NA,NA,NA,NA,NA,20.08972257,1.15261900,NA,10.91008604,0.00300000,240.23206370,1.69000000,NA,0.34907527,NA,0.00000000,0.00019533,0.42311445,0.04537791,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,16.93543686,0,0.00000000,0.00000000,24.15745785,NA,0.00000000,0.00232481
0,1,MS,1,sheath,StemElement,1.04568227,NA,1.33216306,NA,NA,NA,NA,NA,NA,0.02322060,NA,0.00000000,0.00000855,157.12774069,NA,NA,NA,NA,NA,0.00845524,NA,NA,NA,NA,NA,NA,2.83623099,0.42508199,NA,9.19700388,NA,240.23206370,0.20231970,NA,0.04104000,NA,0.00000000,0.00026861,0.19847321,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00000000,2.02319701,0,0.00000000,0.00000000,10.05882353,NA,0.00000000,0.00300000
0,1,MS,2,blade,LeafElement1,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.08023525,NA,0.00000000,0.00002420,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,27.72496500,0.00000000,NA,20.00000000,0.00330000,160.23206370,2.36000000,NA,0.48860194,NA,0.00000000,0.00024107,0.00000000,NA,False,False,0.09200000,0.00483764,4885.93175850,0.00483764,1.00000000,0.00000000,23.63639357,0,0.00000000,0.00000000,28.45672340,NA,0.00000000,0.00255729
0,1,MS,2,sheath,HiddenElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00001140,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,5.02325484,0.00000000,NA,20.00000000,NA,160.23206370,0.38263356,NA,0.07980000,NA,6.70588235,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.82633557,0,0.00000000,0.00000000,13.41176471,NA,0.00000000,0.00300000
0,1,MS,2,sheath,StemElement,1.48490436,NA,1.89029454,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00000020,100.25643235,NA,NA,NA,NA,NA,0.01342901,NA,NA,NA,NA,NA,NA,0.08812728,0.26848081,NA,7.42875884,NA,160.23206370,0.00671287,NA,0.00140000,NA,0.00000000,0.00000471,0.20423160,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000000,0.06712869,0,0.00000000,0.00000000,0.23529412,NA,0.00000000,0.00300000
0,1,MS,3,blade,LeafElement1,13.95634163,NA,13.82606907,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002090,335.23748873,NA,NA,NA,NA,NA,0.13027256,NA,NA,NA,NA,NA,NA,26.17348287,0.99770089,NA,10.22931739,0.00400000,80.23206370,2.24000000,NA,0.46295991,NA,0.00000000,0.00018295,0.41396735,0.05097425,True,False,0.06372518,0.00417081,0.00000000,0.00417081,1.00000000,0.00000000,22.44062573,0,0.00000000,0.00000000,24.53417647,NA,0.00000000,0.00288355
0,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001004,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
0,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005020,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
1,1,MS,1,blade,LeafElement1,0.00000000,0.00000000,0.00000000,0.00000000,2.32926216,0.00000000,1.41253635,0.32930229,4.36277639,0.06848600,0.00000000,0.00000000,0.00002050,406.56013056,NA,0.00000000,0.00000000,0.00010750,0.07565848,0.00000000,0.00000000,0.00000000,0.00000027,2.66882691,0.00000000,0.00000000,19.54309285,0.00000000,0.00000000,5.84000000,0.00300000,240.48097587,1.14094567,NA,0.34322501,0.00000000,0.00000000,0.00019533,0.00000000,NA,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,16.93786147,0,0.00000000,0.00000000,14.63143098,0.07576598,0.00000000,0.00232481
1,1,MS,1,sheath,StemElement,1.07537254,0.04576792,1.36998998,0.00000000,2.87662636,12.48671953,0.46814851,0.03969785,2.23095914,0.02322060,0.05413547,0.00000000,0.00000855,167.37520205,NA,1.03986613,0.05359345,0.00002289,0.01372589,0.00869276,0.00000000,31.65777801,0.00000015,1.98295322,34.38617665,468.61892037,2.90651685,0.50878375,0.00013666,9.59867210,NA,240.48097587,0.27456758,NA,0.04736515,0.00707881,0.00000000,0.00026861,0.19144391,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00013352,2.02123498,0,0.00000000,0.04737561,5.91095932,0.06734224,0.00013096,0.00300000
